id	nm	lat	lon	countryCode
1861454	Isawa	35.65	138.6333	JP
1852915	Sasaguri	33.61667	130.5333	JP
2112571	Ishioka	36.18333	140.2667	JP
1849796	Tsu-shi	34.73028	136.5086	JP
2111277	Rifu	38.32361	140.9744	JP
1864750	Beppu	33.27361	131.4919	JP
1860112	Kanoya	31.38333	130.85	JP
1864572	Chikushino-shi	33.49631	130.5156	JP
1849299	Umi	33.56667	130.5	JP
1848087	Yukuhashi	33.72873	130.983	JP
1851426	Sumoto	34.35	134.9	JP
1857334	Mihara	34.4	133.0833	JP
1850034	Tondabayashi	34.5	135.6	JP
1851717	Shizuoka-shi	34.97694	138.3831	JP
1855416	Niimi	34.98333	133.4667	JP
1854902	Numazu	35.1	138.8667	JP
1856057	Nagoya-shi	35.18147	136.9064	JP
1861602	Inazawa	35.25	136.7833	JP
1855380	Ninomiya	35.30333	139.2533	JP
1861449	Isehara	35.39056	139.3078	JP
1861864	Iida	35.51965	137.8207	JP
1859642	Kawasaki	35.52056	139.7172	JP
1862599	Hino	35.67306	139.4003	JP
1855503	Nerima	35.73333	139.65	JP
1852502	Shiki	35.83333	139.5833	JP
1851604	Soka	35.82028	139.8044	JP
1907125	Kamifukuoka	35.8725	139.5097	JP
6822108	Inashiki	35.95633	140.3236	JP
1854022	Ono	35.98106	136.4873	JP
1852347	Shimodate	36.3	139.9833	JP
2112232	Kitaibaraki	36.78333	140.75	JP
2110959	Sukagawa	37.28333	140.3833	JP
2111834	Morioka-shi	39.70361	141.1525	JP
2129211	Misawa	40.68361	141.3597	JP
2130452	Chitose	42.81944	141.6522	JP
1858421	Kumamoto-shi	32.78972	130.7417	JP
2113164	Abiko	35.86667	140.0167	JP
1863945	Fukuroi	34.75	137.9167	JP
1854383	Okayama-shi	34.66167	133.935	JP
1850147	Tokyo	35.6895	139.6917	JP
2111258	Ryugasaki	35.9	140.1833	JP
1849053	Utsunomiya-shi	36.56583	139.8836	JP
1854083	Omuta	33.03333	130.45	JP
1847966	Akashi	34.63333	134.9833	JP
1858756	Kosai-shi	34.7184	137.5318	JP
2128558	Otofuke	42.99167	143.2003	JP
1853909	Osaka-shi	34.69374	135.5022	JP
1848354	Yokohama-shi	35.44778	139.6425	JP
2111749	Naka	36.05	140.1667	JP
1859740	Kawagoe	35.90861	139.4853	JP
1859171	Kobe-shi	34.6913	135.183	JP
1863431	Hadano	35.37111	139.2236	JP
1863967	Fukuoka-shi	33.60639	130.4181	JP
1859924	Kashiwa	35.85444	139.9689	JP
1894616	Okinawa	26.33583	127.8014	JP
1855431	Niigata-shi	37.90222	139.0236	JP
2113015	Chiba-shi	35.60472	140.1233	JP
1864154	Fuchu	35.66667	139.4833	JP
1856215	Nagano-shi	36.65139	138.1811	JP
2111220	Sakura	35.71667	140.2333	JP
2113077	Asahi	35.71667	140.65	JP
1856717	Miyazaki-shi	31.91111	131.4239	JP
